ep_num,title,air_date,ticker,status,buy_date,buy_price,split_factor,current_value,return_pct,gain_usd,flag
97,Eventbrite (with Julia & Kevin Hartz),2020-08-25,EB,public,2020-08-25,10.3,1.0,4.5,-56.3,-5.8,manual_prices
100,Twitter (with Dick Costolo),2020-10-28,TWTR,public,2020-10-28,48.53,1.0,54.2,11.7,5.67,manual_prices
101,Virgin Galactic,2020-11-22,SPCE,public,2020-11-23,24.91,0.05,0.15,-99.4,-24.76,
102,DoorDash,2020-12-09,DASH,public,2020-12-09,189.51,1.0,201.95,6.6,12.44,
103,Airbnb,2020-12-10,ABNB,public,2020-12-10,144.71,1.0,170.19,17.6,25.48,
105,The New York Times Company,2021-02-17,NYT,public,2021-02-17,49.68,1.057663,70.74,42.4,21.06,
106,Meituan,2021-03-10,MPNGY,public,2021-03-10,80.93,1.0,19.05,-76.5,-61.88,
108,Berkshire Hathaway Part I,2021-04-20,BRK-B,public,2021-04-20,267.89,1.0,510.37,90.5,242.48,
109,Berkshire Hathaway Part II,2021-05-12,BRK-B,public,2021-05-12,282.91,1.0,510.37,80.4,227.46,
110,Berkshire Hathaway Part III,2021-06-06,BRK-B,public,2021-06-07,289.46,1.0,510.37,76.3,220.91,
114,TSMC,2021-09-06,TSM,public,2021-09-07,124.7,1.084835,469.99,276.9,345.29,
121,Peloton,2022-02-10,PTON,public,2022-02-10,37.46,1.0,4.95,-86.8,-32.51,
122,SONY,2022-03-07,SONY,public,2022-03-07,95.82,5.113939,122.22,27.6,26.4,
124,Nvidia Part I: The GPU Company (1993-2006),2022-03-27,NVDA,public,2022-03-28,282.19,10.041105,2191.87,676.7,1909.68,
125,Nvidia Part II: The Machine Learning Company (2006-2022),2022-04-20,NVDA,public,2022-04-20,214.82,10.041106,2191.87,920.3,1977.05,
126,Walmart,2022-07-18,WMT,public,2022-07-18,128.77,3.15708,338.28,162.7,209.51,
127,Amazon.com,2022-08-16,AMZN,public,2022-08-16,144.78,1.0,256.78,77.4,112.0,
128,Amazon Web Services,2022-09-05,AMZN,public,2022-09-06,126.11,1.0,256.78,103.6,130.67,
131,Qualcomm,2022-11-14,QCOM,public,2022-11-14,120.8,1.094111,199.1,64.8,78.3,
134,LVMH,2023-02-21,LVMUY,public,2023-02-21,171.41,1.067594,102.56,-40.2,-68.85,
135,Nintendo's Origins,2023-03-15,NTDOY,public,2023-03-15,9.4,1.012602,13.39,42.4,3.99,
136,Nintendo: The Console Wars,2023-04-11,NTDOY,public,2023-04-11,10.1,1.012602,13.39,32.5,3.29,
137,Lockheed Martin,2023-05-29,LMT,public,2023-05-30,447.97,1.097811,575.46,28.5,127.49,
138,Porsche (with Doug DeMuro),2023-06-26,P911.DE,public,2023-06-26,118.72,1.120676,58.34,-50.9,-60.38,
139,Nike,2023-07-24,NKE,public,2023-07-24,108.77,1.075745,39.59,-63.6,-69.18,
140,Costco,2023-08-21,COST,public,2023-08-21,543.21,1.042518,943.24,73.6,400.03,
141,Nvidia Part III: The Dawn of the AI Era (2022-2023),2023-09-05,NVDA,public,2023-09-05,485.48,10.030692,2189.6,351.0,1704.12,
142,Visa,2023-11-26,V,public,2023-11-27,254.14,1.020894,378.19,48.8,124.05,
143,Novo Nordisk (Ozempic),2024-01-21,NVO,public,2024-01-22,105.49,1.090713,46.98,-55.5,-58.51,
144,Hermès,2024-02-19,HESAY,public,2024-02-20,239.87,1.030485,166.68,-30.5,-73.19,
146,Microsoft Volume I,2024-04-21,MSFT,public,2024-04-22,400.96,1.019463,505.28,26.0,104.32,
147,Starbucks (with Howard Schultz),2024-06-03,SBUX,public,2024-06-03,82.08,1.058016,104.47,27.3,22.39,
148,Microsoft Volume II,2024-07-21,MSFT,public,2024-07-22,442.94,1.017628,504.37,13.9,61.43,
150,Meta,2024-10-27,META,public,2024-10-28,578.16,1.005753,651.76,12.7,73.6,
153,TSMC Founder Morris Chang,2025-01-26,TSM,public,2025-01-27,192.31,1.01871,441.35,129.5,249.04,
158,Google Part I: Origins of Search,2025-06-29,GOOGL,parent,2025-06-30,176.23,1.003497,339.68,92.8,163.45,
160,Google Part II: Alphabet,2025-08-26,GOOGL,public,2025-08-26,207.14,1.003497,339.68,64.0,132.54,
161,Google Part III: The AI Company,2025-10-05,GOOGL,public,2025-10-06,250.43,1.002601,339.38,35.5,88.95,
163,Coca-Cola,2025-11-23,KO,public,2025-11-24,72.59,1.020494,90.1,24.1,17.51,
165,Formula 1,2026-03-02,FWONK,parent,2026-03-02,91.09,1.0,95.59,4.9,4.5,
166,Ferrari,2026-04-12,RACE,public,2026-04-13,355.14,1.011541,418.56,17.9,63.42,
168,The Walt Disney Company,2026-06-21,DIS,public,2026-06-22,102.45,1.007662,107.37,4.8,4.92,
169,Disney: The Renaissance and the Empire,2026-08-09,DIS,public,2026-08-10,103.18,1.0,106.55,3.3,3.37,
4,Bungie (with Xbox Co-Founder Ed Fries),2015-11-30,,skipped,,,,,,,"S1E4; https://www.acquired.fm/episodes/episode-4-bungie; independent private studio at air date, no public parent (Sony acquired Bungie in 2022, after air date)"
12,Snapchat,2016-05-22,,skipped,,,,,,,"S1E12; https://www.acquired.fm/episodes/episode-12-snapchat; Snapchat/Snap Inc. was private on air date, IPO not until March 2017"
18,Jet,2016-08-29,,skipped,,,,,,,S1E19; https://www.acquired.fm/episodes/meta; Jet.com still private on air date; Walmart deal announced 2016-08-08 but did not close until 2016-09-19
20,Inside the M&A Press with Bloomberg's Alex Sherman,2016-09-27,,skipped,,,,,,,"S1E21; https://www.acquired.fm/episodes/episode-21-inside-the-ma-press-with-bloombergs-alex-sherman; episode is a discussion of M&A journalism, not about a specific company"
28,"The Uber - Didi Chuxing Merger with Brad Stone, author of The Upstarts & The Everything Store",2017-02-28,,skipped,,,,,,,"S1E31; https://www.acquired.fm/episodes/episode-31-the-uber-didi-chuxing-merger-with-brad-stone-author-of-the-upstarts-the-everything-store; both Uber and Didi Chuxing were private on air date (Uber IPO 2019), no public parent"
33,The LA Clippers,2017-04-23,,skipped,,,,,,,"S1E36; https://www.acquired.fm/episodes/episode-36-the-la-clippers; NBA team privately owned by Steve Ballmer since 2014, no public parent"
34,"BAMTech, Disney and ""the Biggest Media Company You've Never Heard Of”",2017-05-10,,skipped,,,,,,,"S1E37; https://www.acquired.fm/episodes/episode-37-bamtech-disney-and-the-biggest-media-company-youve-never-heard-of; Disney held only a 33% minority stake at air date (bought Aug 2016); majority owned by MLB Advanced Media, a private league entity, so not yet acquired by a public parent"
43,Blue Bottle Coffee,2017-10-07,,skipped,,,,,,,"S1E46; https://www.acquired.fm/episodes/blue-bottle-coffee; Nestle acquired majority (~68%) stake in Blue Bottle Sept 2017, before air date; public parent Nestle, US OTC ADR NSRGY; REVIEW: Nestle deal announced 2017-09-14 but closed late Oct 2017, after air date -> skipped (Nestle later sold Blue Bottle to Centurium 2026-04-27)"
49,Raising a Seed Round with Against Gravity CEO Nick Fajt,2018-02-06,,skipped,,,,,,,"S2E2; https://www.acquired.fm/episodes/season-2-episode-2raising-a-seed-round-with-against-gravity-ceo-nick-fajt; educational episode on seed fundraising; subject company (later Rec Room Inc) private, no public parent"
56,GitHub,2018-06-05,,skipped,,,,,,,"S2E9; https://www.acquired.fm/episodes/season-2-episode-9github; Microsoft-GitHub deal announced 2018-06-04 but did not close until 2018-10-26, so GitHub was still private/independent on air date (uncertain: could argue announced deal should count as parent=MSFT)"
57,The Rover-DogVacay Merger (with Rover CEO Aaron Easterly),2018-06-17,,skipped,,,,,,,"S2E10; https://www.acquired.fm/episodes/season-2-episode-10the-rover-dogvacay-merger-with-rover-ceo-aaron-easterly; Rover and DogVacay both private companies, no public parent"
61,Recode (with Kara Swisher),2018-09-10,,skipped,,,,,,,"S3E4; https://www.acquired.fm/episodes/season-3-episode-4recode-with-kara-swisher; Recode merged into Vox Media in 2015, Vox Media is private, no public parent"
77,Superhuman (with CEO Rahul Vohra),2019-06-27,,skipped,,,,,,,"S4E10; https://www.acquired.fm/episodes/superhuman; private email startup, never went public"
78,Huawei,2019-07-22,,skipped,,,,,,,"S5E1; https://www.acquired.fm/episodes/huawei; privately/employee-owned, no public listing"
81,Sequoia Capital (Part 1),2019-09-26,,skipped,,,,,,,"S5E4; https://www.acquired.fm/episodes/sequoia-capital-part-1; private VC partnership, no public stock"
83,The WeWork “Acquisition” (with Dan Primack),2019-10-24,,skipped,,,,,,,"S5E6; https://www.acquired.fm/episodes/the-wework-acquisition-with-dan-primack; SoftBank rescue deal announced 2019-10-22 gave SoftBank ~80% economic stake in still-private WeWork, buy public parent SoftBank (Tokyo 9984); REVIEW: SoftBank never controlled WeWork at air date -> skipped"
85,TikTok,2019-12-08,,skipped,,,,,,,"S5E8; https://www.acquired.fm/episodes/tiktok; owned by ByteDance, private, no public parent"
86,Convoy (with CEO Dan Lewis),2019-12-19,,skipped,,,,,,,"S5E9; https://www.acquired.fm/episodes/convoy-with-ceo-dan-lewis; private freight startup, shut down 2023, never public"
87,The Lean Startup and the Long-Term Stock Exchange (with Eric Ries),2019-12-29,,skipped,,,,,,,"S5E10; https://www.acquired.fm/episodes/season-5-episode-10-the-lean-startup-and-the-long-term-stock-exchange-with-eric-ries; episode about a methodology/private exchange operator, no public stock"
89,Sequoia Capital Part II (with Doug Leone),2020-02-17,,skipped,,,,,,,"S6E2; https://www.acquired.fm/episodes/sequoia-capital-part-ii-with-doug-leone; private VC partnership, no public stock"
90,The Top 10 Acquisitions of All-Time,2020-03-17,,skipped,,,,,,,"S6E3; https://www.acquired.fm/episodes/acquired-top-ten-the-best-acquisitions-of-all-time; list/retrospective episode, not about one company"
91,Adapting Episode 1: Canlis,2020-03-20,,skipped,,,,,,,"S6E4; https://www.acquired.fm/episodes/adapting-episode-3-intel; private Seattle restaurant, no public listing"
92,Adapting Episode 2: Sequoia’s Black Swan Memo (with Roelof Botha),2020-03-30,,skipped,,,,,,,"S6E5; https://www.acquired.fm/episodes/sequoias-black-swan-memo; private VC partnership, no public stock"
94,SpaceX,2020-05-26,,skipped,,,,,,,"S6E7; https://www.acquired.fm/episodes/spacex; privately held, no public listing as of 2026-09-04"
95,Oprah (Harpo Studios),2020-06-25,,skipped,,,,,,,S6E8; https://www.acquired.fm/episodes/oprah-harpo-studios; privately held production company / episode about a person
98,Epic Games,2020-09-01,,skipped,,,,,,,"S7E3; https://www.acquired.fm/episodes/epic-games; privately held (Tencent minority stake only), no public listing"
99,The NBA,2020-09-30,,skipped,,,,,,,"S7E4; https://www.acquired.fm/episodes/the-nba; episode about a sports league, not a single company"
104,Bitcoin,2021-01-18,,skipped,,,,,,,"S8E1; https://www.acquired.fm/episodes/bitcoin; episode is about a cryptocurrency asset, not a company"
107,Rec Room Part II (with CEO Nick Fajt),2021-03-23,,skipped,,,,,,,"S8E4; https://www.acquired.fm/episodes/rec-room-part-ii-with-ceo-nick-fajt; Rec Room is privately held, no public parent"
111,Ethereum,2021-07-05,,skipped,,,,,,,"S8E8; https://www.acquired.fm/episodes/ethereum; episode is about a cryptocurrency network, not a company"
112,Andreessen Horowitz Part I,2021-07-26,,skipped,,,,,,,"S9E1; https://www.acquired.fm/episodes/andreessen-horowitz-part-i; a16z is a privately held venture capital firm, no public parent"
113,Andreessen Horowitz Part II,2021-08-09,,skipped,,,,,,,"S9E2; https://www.acquired.fm/episodes/andreessen-horowitz-part-ii; same subject as Part I, privately held"
115,Standard Oil Part I,2021-09-21,,skipped,,,,,,,"S9E4; https://www.acquired.fm/episodes/standard-oil-part-i; Standard Oil was broken up by antitrust action in 1911, no single surviving public entity to buy as of air date"
116,Standard Oil Part II,2021-10-18,,skipped,,,,,,,"S9E5; https://www.acquired.fm/episodes/standard-oil-part-ii; same subject as Part I, dissolved 1911, no single successor"
117,Not Boring (with Packy McCormick),2021-12-02,,skipped,,,,,,,"S9E6; https://www.acquired.fm/episodes/not-boring-with-packy-mccormick; episode is about a newsletter/writer (Packy McCormick), not a company"
118,FTX (with Sam Bankman-Fried & Mario Gabriele),2021-12-14,,skipped,,,,,,,"S9E7; https://www.acquired.fm/episodes/ftx-with-sam-bankman-fried-mario-gabriele; FTX was privately held at air date, no public parent (collapsed Nov 2022 while still private)"
119,CAA (with Michael Ovitz),2021-12-21,,skipped,,,,,,,"S9E8; https://www.acquired.fm/episodes/caa-with-michael-ovitz; Creative Artists Agency is privately held, no public parent"
120,Taylor Swift (Acquired’s Version),2022-01-23,,skipped,,,,,,,"S10E1; https://www.acquired.fm/episodes/taylor-swift-acquireds-version; episode is about a person/artist, not a company"
123,Altimeter (with Brad Gerstner),2022-03-14,,skipped,,,,,,,"S10E4; https://www.acquired.fm/episodes/altimeter-with-brad-gerstner; Altimeter Capital is a privately held hedge/VC fund, no public parent"
129,Benchmark Part I,2022-09-27,,skipped,,,,,,,"S11E4; https://www.acquired.fm/episodes/benchmark-part-ii-the-dinner; Benchmark is a private VC partnership, no public ticker or parent"
130,Benchmark Part II: The Dinner,2022-10-17,,skipped,,,,,,,"S11E5; https://www.acquired.fm/episodes/benchmark-part-ii-the-dinner; Benchmark is a private VC partnership, no public ticker or parent"
132,Enron,2022-11-28,,skipped,,,,,,,"S11E7; https://www.acquired.fm/episodes/enron; Enron collapsed and was delisted in 2001, no tradable ticker on 2022 air date"
133,Stratechery (with Ben Thompson),2022-12-05,,skipped,,,,,,,"S11E8; https://www.acquired.fm/episodes/stratechery-with-ben-thompson; Stratechery is Ben Thompson's private newsletter business, not a public company"
145,Renaissance Technologies,2024-03-17,,skipped,,,,,,,"S14E3; https://www.acquired.fm/episodes/renaissance-technologies; Renaissance Technologies is a private hedge fund, no public ticker or parent"
149,"Acquired LIVE from Chase Center (with Daniel Ek, Emily Chang, Jensen Huang and Mark Zuckerberg)",2024-09-29,,skipped,,,,,,,"S15E1; https://www.acquired.fm/episodes/acquired-live-from-chase-center-with-daniel-ek-emily-chang-jensen-huang-and-mark-zuckerberg; Live panel/event episode not about a single company, no subject to buy"
151,IKEA,2024-11-17,,skipped,,,,,,,"S15E3; https://www.acquired.fm/episodes/ikea; private, owned by INGKA/Interogo foundations (nonprofit structure), no public parent"
152,Mars Inc. (the chocolate story),2024-12-15,,skipped,,,,,,,"S15E4; https://www.acquired.fm/episodes/mars-inc-the-chocolate-story; privately held by the Mars family, no public parent"
154,Rolex,2025-02-24,,skipped,,,,,,,"S16E2; https://www.acquired.fm/episodes/rolex (RSS pubDate 2026-03-04 appears to reflect a later re-upload; true air date confirmed via acquired.fm episode page); owned by Hans Wilsdorf Foundation (private charitable trust), no public parent"
155,Indian Premier League Cricket,2025-03-23,,skipped,,,,,,,"S16E3; https://www.acquired.fm/episodes/indian-premier-league-cricket; IPL is a league run by BCCI, not a single company with public equity; not a company/stock"
156,Epic Systems (MyChart),2025-04-20,,skipped,,,,,,,"S16E4; https://www.acquired.fm/episodes/epic-systems-mychart; privately held, majority owned by founder Judy Faulkner, never IPO'd, no public parent"
157,The Steve Ballmer Interview,2025-06-01,,skipped,,,,,,,"S17E1; https://www.acquired.fm/episodes/the-steve-ballmer-interview; interview with a person, not about a specific company"
159,The Jamie Dimon Interview,2025-07-16,,skipped,,,,,,,"S17E3; https://www.acquired.fm/episodes/the-jamie-dimon-interview; interview with a person, not about a specific company"
162,Trader Joe's,2025-10-26,,skipped,,,,,,,"S18E2; https://www.acquired.fm/episodes/trader-joes; privately owned by Aldi Nord family foundations (Albrecht family), no public parent"
164,10 Years of Acquired (with Michael Lewis),2025-12-14,,skipped,,,,,,,"S18E4; https://www.acquired.fm/episodes/10-years-of-acquired-with-michael-lewis; retrospective/interview episode, not about a single company"
167,Vanguard,2026-05-17,,skipped,,,,,,,"S19E3; https://www.acquired.fm/episodes/vanguard; Vanguard is owned by its funds/investors (mutual structure), not publicly traded, no public parent"
