ticker,date,close,note
EB,2026-03-09,4.51,"ep97; final close before deal completion; Eventbrite acquired by Bending Spoons, merger effective 2026-03-10, each share converted to $4.50 cash, NYSE delisting effective 2026-03-23, https://stockanalysis.com/stocks/eb/history/"
EA,2019-05-28,93.5,"stockanalysis.com history close, first trading day after 2019-05-27 Memorial Day episode air date, https://stockanalysis.com/stocks/ea/history/"
EA,2019-12-31,107.51,"stockanalysis.com history close (year-end), https://stockanalysis.com/stocks/ea/history/"
EA,2020-12-31,143.6,"stockanalysis.com history close (year-end), https://stockanalysis.com/stocks/ea/history/"
EA,2021-12-31,131.9,"stockanalysis.com history close (year-end), https://stockanalysis.com/stocks/ea/history/"
EA,2022-12-30,122.18,"stockanalysis.com history close (year-end trading day, 12/31 fell on Saturday), https://stockanalysis.com/stocks/ea/history/"
EA,2023-12-29,136.81,"stockanalysis.com history close (year-end trading day, 12/31 fell on Sunday), https://stockanalysis.com/stocks/ea/history/"
EA,2024-12-31,146.3,"stockanalysis.com history close (year-end), https://stockanalysis.com/stocks/ea/history/"
EA,2025-12-31,204.33,"stockanalysis.com history close (year-end), trading near pending $210/share deal price after PIF/Silver Lake/Affinity Partners acquisition announced 2025-09-29, https://stockanalysis.com/stocks/ea/history/"
EA,2026-08-04,209.7,"ep74; final trading day close before deal completion; EA acquired by consortium of Public Investment Fund (PIF), Silver Lake, and Affinity Partners for $210.00/share cash, deal announced 2025-09-29, stockholder approval 2025-12-22, closed/delisted from NASDAQ 2026-08-04, https://stockanalysis.com/stocks/ea/history/"
